Artifact ID,Conference,Evaluator,Paper title,Artifact app. link,Artifact link,badge,comments,metadata found,New URL,artifact found,artifact complete,Outcome,candidate,docker image,docker build code,conda/mamba/Jupyter/pyenv,requirements.txt,bash scripts,rust scripts,go scripts,other,install fully scripted,built for reuse,pointer to paper from artifact,pointer to artifact from paper,CPU,Mem,Disk,GPU,API,OS,Software,Topology,Changes needed
1,PETS 2025,Evaluator 1,Understanding Regional Filter Lists: Efficacy and Impact,,https://github.com/internet-sicherheit/Understanding-Regional-Filter-Lists-Efficacy-and-Impact-/tree/a47d0eebd0df9dd2c5e78ca92c7217eebdc6df94,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PETS 2025,Evaluator 1,"Sheep's clothing, wolfish impact: Automated detection and evaluation of problematic 'allowed' advertisements",,https://github.com/Racro/AcceptableAds_PETS/tree/6a595bb33e0be56df1b2290fea8954f29c6da6e9,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PETS 2025,Evaluator 1,Automating Governing Knowledge Commons and Contextual Integrity (GKC-CI) Privacy Policy Annotations with Large Language Models,,https://github.com/JakeC007/Automated_GKC-CI_Privacy_Policy_Annotations/tree/6e964c98b148d51d9ccdbf6a0cf1f06d93217ec1,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PETS 2025,Evaluator 1,RPKI-based Location-Unaware Tor Guard Relay Selection Algorithms,,https://github.com/z-lu2017/TOR-RPKI/tree/83c4c84affa967100966c318ce0e585d6d369c2b,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PETS 2025,Evaluator 1,PrePaMS: Privacy-Preserving Participant Management System for Studies with Rewards and Prerequisites,,https://github.com/vs-uulm/prepams/tree/pets25.1,R,,ARTIFACT-EVALUATION.md,,y,y,10m,y,y,,,,y,,,Popper,y,n,y,y,4,2GB,9GB,no,not-found,64-bit Linux,"Docker, Popper",topo.16.64.200.py,"docker, popper"
6,PETS 2025,Evaluator 1,Time-Efficient Locally Relevant Geo-Location Privacy Protection,,https://github.com/chenxiunt/LocalRelevant_Geo-Obfuscation/tree/ebcd8afa1715e42baf29d21096e58c9365171cc1,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PETS 2025,Evaluator 1,AlphaFL: Secure Aggregation with Malicious² Security for Federated Learning against Dishonest Majority,,https://github.com/Barkhausen-Institut/AlphaFL/tree/555426323ddbc2d0f463a5b84d3f8b2a9be3f231,R,,ARTIFACT-EVALUATION.md,,y,y,10m,y,,,,,y,,,,n,y,y,y,2,8-128,8,no,not-found,"Ubuntu 24.04, Ubuntu 22.04","MP-SPDZ v0.3.9, automake, build-essential, clang, cmake, git, libboost-dev, libboost-all-dev, libgmp-dev, libntl-dev, libsodium-dev, libssl-dev, libtool, libomp-dev, python3, numpy, pandas, matplotlib",topo.16.64.200.py,small changes to install packages
64,PETS 2025,Evaluator 1,Estimating Group Means Under Local Differential Privacy,,https://github.com/mad-lab-fau/ldp-group-mean/tree/9fe89f92f36af8973e6b59115030ac75d8f3cdac,R,,ARTIFACT-EVALUATION.md,,y,y,10m,y,,,,,,,,Poetry,y,n,y,n,4,16,not-found,no,not-found,Linux,"Python 3.9/3.10, Poetry, LaTeX (texlive-latex-recommended, cm-super, texlive-science, texlive-fonts-extra, dvipng), pipx, mpi4py, PostgreSQL",topo.16.64.200.py,
21,PETS 2025,Evaluator 1,Onion-Location Measurements and Fingerprinting,,https://github.com/pylls/ol-measurements-and-fp/tree/6fe53382235abc5daec8b7e6649f523fa78ce01c,R,,ARTIFACT-EVALUATION.md,,y,y,10m,y,,,,y,y,,,,n,y,y,y,not-found,not-found,45,yes,not-found,"Windows, Linux","Python, Pytorch, pip, git",topo.16.64.200.py,
10,PETS 2025,Evaluator 1,SoK: (Un)usable Privacy: the Lack of Overlap between Privacy-Aware Sensing and Usable Privacy Research,,https://github.com/ISC-Lab/sok_artifact/,R,commit link,README.md,,y,y,1h,y,,,y,,,,,,n,n,n,n,not-found,not-found,0.2,no,not-found,not-found,"Mamba, Anaconda, scikit-learn",topo.basic.py,"install mamba globally, initialize shell, still ran into python picke error, needed git-lfs"
11,PETS 2025,Evaluator 1,Echoes of Privacy: Uncovering the Profiling Practices of Voice Assistants,,https://github.com/NEU-SNS/voice-assistants-pets25/tree/59ec90ef31d7b753b09a1a9fa2da3ecc68612af1,F,,README.md,,,,,,,,,,,,,,,,,,not-found,16GB,30GB,yes,not-found,not-found,"Python, pip, requirements.txt",,
26,PETS 2025,Evaluator 1,Differentially Private Release of Hierarchical Origin/Destination Data with a TopDown Approach,,https://github.com/aidaLabDEI/TDA_hierarchical/tree/6f8d70bf6d5ef2b39cd099c65d3c4b4160231d73,R,,README.md,,y,y,1h,y,,,y,,,,,,n,y,n,y,not-found,not-found,not-found,not-found,not-found,not-found,"Conda, Python, Jupyter Notebook, Shell",topo.1.16.30.py,
13,PETS 2025,Evaluator 1,"Do It to Know It"": Reshaping the Privacy Mindset of Computer Science Undergraduates""",,https://github.com/MaishaB/undergraduate-privacy-curriculum/tree/0a7f27a8b4220298040323fb100daa658583717b,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,not-found,8,5,no,not-found,MacOS Sonoma,"Golang, Docker, Git, Rust, cmake, python, LaTeX, Wireshark",,
