Artifact ID,Conference,Evaluator,Paper title,Artifact app. link,Artifact link,badge,comments,metadata found,New URL,artifact found,artifact complete,Outcome,candidate,docker image,docker build code,conda/mamba/Jupyter/pyenv,requirements.txt,bash scripts,rust scripts,go scripts,other,install fully scripted,built for reuse,pointer to paper from artifact,pointer to artifact from paper,CPU,Mem,Disk,GPU,API,OS,Software,Topology,Changes needed
14,PETS 2025,Evaluator 1,DB-PAISA: Discovery-Based Privacy-Agile IoT Sensing+Actuation,,https://github.com/sprout-uci/DB-PAISA/tree/5f1eaf424eb8734dce78c71422e25ea938ca747e,F,,README.md,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PETS 2025,Evaluator 1,EpiOracle: Privacy-Preserving Cross-Facility EarlyWarning for Unknown Epidemics,,https://github.com/Yuan-Zhang-uestc/EpiOracleCode/commit/3ccebbf25539a7847b1bfd42a44af03e454a1eab,R,commit link,ARTIFACT-EVALUATION.md,,y,y,1h,y,,,,,y,,,README,n,n,n,y,not-found,16 GB,not-found,no,not-found,not-found,"MySQL 9.0, Java, Bash, EpiOracle/lib packages",topo.16.64.200.py,"readme, needed fixing java and installing mysql and fixing privileges"
16,PETS 2025,Evaluator 1,"WatchWitch: Interoperability, Privacy, and Autonomy for the Apple Watch",,https://github.com/seemoo-lab/watchwitch/tree/a4f77b704274f6e1f1e0e8319bf6c0d6465687e5,F,,README.md,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PETS 2025,Evaluator 1,OPPID: Single Sign-On with Oblivious Pairwise Pseudonyms,,https://github.com/jmakr0/OPPID-artifacts/tree/artifact-review,R,,ARTIFACT-EVALUATION.md,,y,y,"1h, needs specific Go version",y,,,,,,,y,,y,y,y,y,not-found,not-found,not-found,no,not-found,Linux/macOS,"Go (v1.23+), Docker, cloudflair/circle, gnark, git",topo.basic.py,install go
60,PETS 2025,Evaluator 1,VIMz: Private Proofs of Image Manipulation using Folding-based zkSNARKs,,https://github.com/zero-savvy/vimz/tree/9505c178cd7767bdbd74857617a6968df699d8de,R,,README.MD,,y,y,10m,y,,,,,y,y,y,,n,y,y,y,not-found,10 GB,not-found,no,not-found,Ubuntu 22.04,"Node JS, snarkjs, Rust, gcc, build-essential, nlohmann-json3-dev, libgmp3-dev, nasm, Circom, Time, Python",topo.16.64.200.py,npm bc nodejs
19,PETS 2025,Evaluator 1,Message Authentication Code with Fast Verification over Encrypted Data and Applications,,https://github.com/ASEC-lab/auth-HE-retrieval/tree/876daf9bccc075b9e04ff071d4bb23093a710186,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PETS 2025,Evaluator 1,Intractable Cookie Crumbs: Unveiling the Nexus of Stateful Banner Interaction and Tracking Cookies,,https://github.com/bannerclick/bannerclick/tree/v0.26.0_pets25_artifact,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,not-found,not-found,150,not-found,not-found,not-found,tar,,
22,PETS 2025,Evaluator 1,Unmasking the Shadows: A Cross-Country Study of Online Tracking in Illegal Movie Streaming Services,,https://edmond.mpg.de/dataset.xhtml?persistentId=doi:10.17617/3.STVMDI,R,,ARTIFACT-EVALUATION.md,,y,y,1h,y,,,y,y,y,,,,n,y,y,n,not-found,not-found,150,not-found,not-found,not-found,tar,topo.16.64.200.py,"lots of data wrangling, 2/3 of scripts work, needed support for --headless and some Linux packages"
63,PETS 2025,Evaluator 1,Sybil-Resistant Parallel Mixnets,,https://github.com/maya-kleinstein/Sybil-Resistant-Mixnet/tree/artifact,R,,ARTIFACT-EVALUATION.md,,y,y,30m,y,,y,,,,y,,,y,y,y,y,4 per node (64 for setup),50,<0.01,no,not-found,Linux (x86_64-unknown-linux-gnu),"Rust, Python3, cargo, protobuf-compiler, Slurm, Docker",topo.16.64.200.py,install rust and cargo and set up
62,PETS 2025,Evaluator 1,PrivDiffuser: Privacy-Guided Diffusion Model for Data Obfuscation in Sensor Networks,,https://github.com/sustainable-computing/PrivDiffuser/tree/26b17a921274b0224e8985d6be10945aedeb360f,R,,ARTIFACT-EVALUATION.md,,y,y,1h,y,y,y,y,y,,,,,y,y,y,y,not-found,16,20,no,not-found,Ubuntu 20.04,"Python 3.8, Git LFS, Docker, miniconda, TensorFlow, PyTorch, Jupyter Lab",topo.1.16.100.py,"docker needs disk space, tried 100GB, still complained. Docker tries to get conda, conda also needed terms of service accepted, conda worked"
24,PETS 2025,Evaluator 1,SpinML: Customized Synthetic Data Generation for Private Training of Specialized ML Models,,https://github.com/bitzj2015/SpinML-Artifact/tree/f34b9a9ae65af22db10b799c1824677fef852585,F,,README.md,,,,,,,,,,,,,,,,,,not-found,not-found,not-found,no,not-found,Linux,"OpenSSL, Eigen, NVCC, CUTLASS, Python, PyTorch, numpy, MP-SPDZ, Docker, GCC, Make, FlexNN, Pygeon",,
7,PETS 2025,Evaluator 1,SoK: Descriptive Statistics Under Local Differential Privacy,,https://github.com/mad-lab-fau/sok-ldp-data-analysis/tree/df6372a45b9c98ae093cc48afe43c9b5aff29f33,R,,ARTIFACT-EVALUATION.md,,y,y,5m,y,,,,,,,,Poetry,y,y,y,n,16,64,2.5,not-found,not-found,Linux,"Python 3.9/3.10, Poetry, LaTeX, dvipng, pipx, mpi4py",topo.16.64.200.py,
12,PETS 2025,Evaluator 1,Unveiling Client Privacy Leakage from Public Dataset Usage in Federated Distillation,,https://github.com/horanshi/Privacy_PDAFD/tree/6d327dcaa861a9ab7fd54af75dc79e4c18871604,R,,ARTIFACT-EVALUATION.md,,y,y,5m,y,,,,y,,,,,y,y,y,n,not-found,16GB,30GB,yes,not-found,not-found,"Python, pip, requirements.txt",topo.1.16.30.py,
25,PETS 2025,Evaluator 1,PIGEON: A High Throughput Framework for Private Inference of Neural Networks using Secure Multiparty Computation,,https://github.com/chart21/hpmpc/tree/a07c3ff0b39222afe092231fd5ac25b8cae7ed7f,R,,README.md,,y,y,5m,y,,y,,y,y,,,,y,y,n,y,not-found,not-found,not-found,no,not-found,Linux,"OpenSSL, Eigen, NVCC, CUTLASS, Python, PyTorch, numpy, MP-SPDZ, Docker, GCC, Make, FlexNN, Pygeon",topo.basic.py,
39,PETS 2025,Evaluator 1,A non-comparison oblivious sort and its application to private k-NN,,https://github.com/sofianeazogagh/knn/tree/v2,R,,ARTIFACT-EVALUATION.md,,y,y,5m,y,,,,,,y,,,y,y,y,y,12,32GB,10GB,no,tfhe-rs,not-found,rustc 1.85.0-nightly,topo.16.64.200.py,
43,PETS 2025,Evaluator 1,Enhancing Metric Privacy With a Shuffler,,https://github.com/andathan/metric_privacy_shuffle_model/tree/metric_shuffle_code_2,R,,README.md,,y,y,5m,y,,,,,,,,README,n,y,n,n,not-found,not-found,not-found,no,not-found,Linux,"python3, pandas, numpy, scipy, matplotlib, mpmath",topo.basic.py,
30,PETS 2025,Evaluator 1,Learning Privacy from Visual Entities,,https://github.com/graphnex/privacy-from-visual-entities/tree/ac9322e7c7b7860d8eea3b6ea9830518fa31c4ef,F,,README.md,,,,,,,,,,,,,,,,,,8,16,2,no,not-found,Linux,"ABY framework, Python 3 (>",,
31,PETS 2025,Evaluator 1,Improving the Performance and Security of Tor’s Onion Services,,https://github.com/BARC-Purdue/CenTor/tree/d2a9efe839df73de7aee87a317a8725b391e0042,F,,README.md,,,,,,,,,,,,,,,,,,not-found,not-found,not-found,not-found,not-found,not-found,"Docker, Docker Compose, Rust, rustc, cargo",,
32,PETS 2025,Evaluator 1,Are Neuromorphic Architectures Inherently Privacy-preserving? An Exploratory Study,,https://github.com/AyanaMoshruba/Neuromorphic_Privacy/tree/640708de29d6c8744397394b6f210975c34a53a7,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,64,125GiB,1 GB,not-found,not-found,"macOS, Linux, or Unix-like OS","Rust, build-essential, git, curl",,
33,PETS 2025,Evaluator 1,High-Throughput Secure Multiparty Computation with an Honest Majority in Various Network Settings,,https://github.com/chart21/hpmpc/tree/334f71c7986630cadb43dbbb8c6c7fba7f060809,F,,README.md,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PETS 2025,Evaluator 1,"Navigating Social Media Privacy: Awareness, Preferences, and Discoverability",,https://github.com/STEELISI/Social-Media-Privacy-Awareness-Preferences-Discoverability/tree/81bf39637d8877b23ab6a881c9941e1013c5a651,R,,README.md,,y,y,5m,y,,,y,,,,,,n,y,y,n,not-found,not-found,700KB,no,not-found,"MAC, Linux, Windows","Python 3.8.11, pyenv, Jupyter Notebook, VS Code, numpy, pandas, matplotlib, statsmodels, ipykernel",topo.basic.py,"python3-venv, change python to python3"
51,PETS 2025,Evaluator 1,"Okay Google, Where's My Tracker? Security, Privacy, and Performance Evaluation of Google's Find My Device Network",,https://github.com/seemoo-lab/Artifacts-for-Okay-Google-Where-is-My-Tracker/tree/pets25-artifact-evaluation,R,,ARTIFACT-EVALUATION.md,,y,y,5m,y,,,,y,,,,,y,n,y,n,not-found,not-found,0.4,no,Google Find My Device network,not-found,"Python 3.10, Google Chrome, Python packages (requirements.txt)",topo.basic.py,
36,PETS 2025,Evaluator 1,"Practical, Private Assurance of the Value of Collaboration via Fully Homomorphic Encryption",,https://github.com/Ryndalf/Label-Encrypted/tree/e205bbf07135fb917536ba9383988a89a328d60c,F,,README.md,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PETS 2025,Evaluator 1,Efficient Verifiable Differential Privacy with Input Authenticity in the Local and Shuffle Model,,https://github.com/xQiratNL/VLDP/tree/v1.1.0,R,,README.md,,y,y,5m,y,,y,y,y,,y,,,y,y,y,y,not-found,not-found,not-found,not-found,not-found,"Linux, Windows","Docker, Docker Desktop, Docker Engine, Docker Compose, Rust, Python, Jupyter Notebook, Git",topo.16.64.200.py,install rust
38,PETS 2025,Evaluator 1,GNNBleed: Inference Attacks to Unveil Private Edges in Graphs with Realistic Access to GNN Models,,https://github.com/szyszyzys/GNNBleed/tree/77a91ddcb61c7d0ea145b303c8ce305a8e4d3961,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,4,16,2,no,not-found,not-found,"git, docker, docker-buildx, cmake, make, python3",,
9,PETS 2025,Evaluator 1,Optimal Piecewise-based Mechanism for Collecting Bounded Numerical Data under Local Differential Privacy,,https://github.com/ZhengYeah/Optimal-GPM/releases/tag/v1.0.0,R,zip,ARTIFACT-EVALUATION.md,,y,y,5m,y,,,,,,,,uv,y,y,n,y,not-found,16gb,0.35gb,no,not-found,"Windows, Linux, macOS","Python, uv, git, matplotlib, PyCharm",http://topo.16.64.py/,"works with older python, solved by changing pyproject.toml"
28,PETS 2025,Evaluator 1,Estimating Group Means Under Local Differential Privacy,,https://github.com/mad-lab-fau/ldp-group-mean/tree/9fe89f92f36af8973e6b59115030ac75d8f3cdac,R,,ARTIFACT-EVALUATION.md,,y,y,5m,y,,,,,,,, poetry,y,y,y,n,4,16GB,not-found,no,PhysioNet (MIMIC-IV),Linux,"Python 3.9 or 3.10, Poetry, pipx, texlive-latex-recommended, cm-super, texlive-science, texlive-fonts-extra, dvipng, mpi4py, PostgreSQL",topo.16.64.200.py,
35,PETS 2025,Evaluator 1,Mastic: Private Weighted Heavy-Hitters and Attribute-Based Metrics,,https://github.com/TrustworthyComputing/mastic/tree/pets-2025.1,R,,README.md,,y,y,5m,y,,y,,,,y,,,y,y,y,y,4,16,not-found,not-found,not-found,not-found,"Docker, Docker Compose, Rust, rustc, cargo",topo.basic.py,
45,PETS 2025,Evaluator 1,Searchable Encryption for Conjunctive Queries with Extended Forward and Backward Privacy,,https://github.com/MonashCybersecurityLab/SDSSE/tree/v1.0.0-paper,R,,README.md,,y,y,30m,y,,,,,y,,,,y,y,y,n,not-found,not-found,not-found,not-found,not-found,Ubuntu version >,"Git, gcc/g++, cmake, openssl, PBC version 0.5.14, Docker",topo.basic.py,"docker had permission issues, on bare metal dependent software had to be manually installed"
41,PETS 2025,Evaluator 1,Aimless Onions: Mixing without Topology Information,,https://github.com/kit-ps/aimless-onions/tree/b6774e5ff14b9c6f2ed1dbd834ef6969bcfbd24b,R,,ARTIFACT-EVALUATION.md,,y,y,5m,y,, y,,y,,y,,,y,y,y,y,not-found,4,5,no,not-found,"Linux (Fedora 42, Debian 12)","Python 3.9, matplotlib, jupyter, Rust (nightly), curl, wget, tcpdump, iproute2, tor, docker, podman",topo.16.64.200.py,
5,PETS 2025,Evaluator 1,The Last Hop Attack: Why Loop Cover Traffic over Fixed Cascades Threatens Anonymity,,https://github.com/Ti-ger/Last_Hop_Attack/tree/2e5ea768949f8689c9320d4f5d2002ff6b20e34c,R,,README.md,,y,y,8m,y,y,y,,,,,,,y,y,n,y,not-found,not-found,not-found,no,not-found,not-found,"Python3, numpy, Docker, git",topo.basic.py,install numpy
40,PETS 2025,Evaluator 1,MultiCent: Secure and Scalable Computation of Centrality Measures on Multilayer Graphs,,https://github.com/encryptogroup/MultiCent/tree/v0.1.1,R,,ARTIFACT-EVALUATION.md,,y,y,"NO: does not run within 1h, library dependency",y,y,y,,,,,,,n,y,y,n,4,16,2,no,not-found,not-found,"git, docker, docker-buildx, cmake, make, python3",topo.16.64.200.py,
42,PETS 2025,Evaluator 1,Real-world Deniability in Messaging,,https://github.com/si-co/rwdm/tree/c81cb1d1517dc59bef1156934ebeee61129d11f6,R,,README.md,,y,y,"NO: does not run within 1h, one script runs one breaks",y,,,,,,,,two python files,y,n,n,n,not-found,not-found,not-found,no,https://entscheidsuche.ch/,not-found,"Python 3.12.6, requests 2.32.3",topo.basic.py,
47,PETS 2025,Evaluator 1,Johnny Can't Revoke Consent Either: Measuring Compliance of Consent Revocation on the Web,,https://github.com/Gayatri-Priyadarsini/Measuring-Compliance-of-Consent-Revocation-on-the-Web/tree/03a8c9bc38b289d32cade782ed95dca25a9a0861,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,not-found,not-found,not-found,not-found,not-found,Linux (Debian-based),"curl, gcc, make, git, opam, proverif (commit cc4f8cde5)",,
37,PETS 2025,Evaluator 1,MProve-Nova: A Privacy-Preserving Proof of Reserves Protocol for Monero,,https://github.com/varunthakore/mprove-nova/tree/af9ed3424b523e86df161969cd4001e9e8e98417,R,,ARTIFACT-EVALUATION.md,,y,n,NO: error: failed to download `blake2b_simd v1.0.4`,y,,,,,,y,,,y,y,y,y,64,125GiB,1 GB,not-found,not-found,"macOS, Linux, or Unix-like OS","Rust, build-essential, git, curl",,
49,PETS 2025,Evaluator 1,Does Coding Style Really Survive Compilation? Stylometry of Executable Code Revisited,,https://github.com/sprlab/binary-stylometry/tree/artifact,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,not-found,not-found,0.4,no,Google Find My Device network,not-found,"Python 3.10, Google Chrome, Python packages (requirements.txt)",,
48,PETS 2025,Evaluator 1,Vote&Check: Secure Postal Voting with Reduced Trust Assumptions,,https://inria.hal.science/hal-04813613,R,"weird platform, have to download zip to find out what's inside",README.md,,y,y,"NO: needed a few libraries and opam packages, in the end didn't run",y,,,,,,,,opam,n,y,y,y,not-found,not-found,not-found,not-found,not-found,Linux (Debian-based),"curl, gcc, make, git, opam, proverif (commit cc4f8cde5)",topo.16.64.200.py,
34,PETS 2025,Evaluator 1,Private Shared Random Minimum Spanning Forests,,https://github.com/MarianDietz/secure-msf/tree/v0.1,R,,ARTIFACT-EVALUATION.md,,y,y,10m,y,,,,,,,,Cmake,n,y,y,n,8,16,2,no,not-found,Linux,"ABY framework, Python 3 (>",twonode.py,lots of dependencies not listed but easy to install
52,PETS 2025,Evaluator 1,DiDOTS: Knowledge Distillation from Large-Language-Models for Dementia Obfuscation in Transcribed Speech,,https://github.com/domiwk/didots/tree/995364c938599cbdf4eb4384a7d701d2ee53c4a8,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PETS 2025,Evaluator 1,Robust and Efficient Watermarking of Large Language Models Using Error Correction Codes,,https://github.com/luan-xiaokun/permumark/tree/c54393e523c0d14e65143331380a06a85744ffa6,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,not-found,16 GB,not-found,no,not-found,not-found,"MySQL 9.0, Java, Bash, EpiOracle/lib packages",,
23,PETS 2025,Evaluator 1,SoK: Truncation Untangled: Scaling Fixed-Point Arithmetic for Privacy-Preserving Machine Learning to Large Models and Datasets,,https://github.com/chart21/hpmpc/blob/7c4132243abf11c940b2a70aad875a6be6912402/measurements/configs/artifacts/truncation/ARTIFACT_EVALUATION.md,R,,ARTIFACT_EVALUATION.md,,y,y,10m,y,,y,,,,,,,n,y,n,y,16,64,not-found,no,not-found,Debian-based,"gcc-12, g++-12, libeigen3-dev, libssl-dev, git, vim, ca-certificates, python3, jq, bc, build-essential, iproute2, iperf, Docker, python3-pip, gdown, paramiko, matplotlib, pandas, texlive-full",fournode.py,
15,PETS 2025,Evaluator 1,PrivacyGuard: Exploring Hidden Cross-App Privacy Leakage Threats In IoT Apps,,https://github.com/PrivacyGuard-PETS/PrivacyGuard/tree/f9ad12ccbef7eb32e205abccfa7b64258a00e253,R,,README.md,,y,y,"needs gui, cannot run",n,,,,,,,,,,,,,not-found,3,1.5,no,not-found,"macOS, Linux","Docker, XQuartz, Xhost, Python, Groovy, git, wget, unzip",topo.basic.py,
58,PETS 2025,Evaluator 1,Topology-Based Reconstruction Prevention for Decentralised Learning,,https://data.4tu.nl/datasets/da119685-3288-4869-88c7-f8138066df66,R,"weird platform, have to download zip to find out what's inside",ARTIFACT-EVALUATION.md,,y,y,needs Matlab and it is hard to work with without GUI,n,,,,,,,,,,,,,"8, 16, 32, 48",36-69,0.717,no,not-found,not-found,"MATLAB R2023a+, MATLAB Parallel Computing Toolbox, MATLAB Statistics and Machine Learning Toolbox, Customizable Heat Maps, Fast Reduced Row Echelon Form",topo.16.64.200.py,
57,PETS 2025,Evaluator 1,Noiseless Privacy-Preserving Decentralized Learning,,https://github.com/sacs-epfl/shatter/tree/shatter-pets-2025,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,"8, 16, 32, 48",36-69,0.717,no,not-found,not-found,"MATLAB R2023a+, MATLAB Parallel Computing Toolbox, MATLAB Statistics and Machine Learning Toolbox, Customizable Heat Maps, Fast Reduced Row Echelon Form",,
44,PETS 2025,Evaluator 1,Stochastic Models for Remote Timing Attacks,,https://github.com/Asterius27/SecPerf-Artifacts/tree/c31491f2cd8a1fa8c4557ecaa90f1e7d6ac90e7b,R,,README.md,,y,y,needs Matlab and it is hard to work with without GUI,n,,,,,,,,,,,,,not-found,not-found,minimal,no,not-found,not-found,"MATLAB, Simulink, Symbolic Math Toolbox, Python, numpy, pandas, scipy, playwright, k6, WordPress, HotCRP, Chrome",topo.basic.py,
29,PETS 2025,Evaluator 1,Understanding Privacy Norms through Web Forms,,https://github.com/UCI-Networking-Group/webform/tree/PoPETs-AE-v1,R,,ARTIFACT-EVALUATION.md,,y,y,needs Matlab and it is hard to work with without GUI,n,,,,,,,,,,,,,not-found,not-found,25,yes,commercial APIs,"Debian GNU/Linux 12, macOS 14.6","NVIDIA driver, Conda, Git, zstd, sqlite3, tar, Python, NodeJS, npm, playwright, PoliGraph, Jupyter notebook",topo.16.64.200.py,
17,PETS 2025,Evaluator 1,Janus: Fast Privacy-Preserving Data Provenance For TLS,,https://github.com/jplaui/janus_artifacts/tree/a2390d6c69cff7a1b73e87b96ac4a05e70fcb55d,R,,README.md,,y,y,"NO: go seems to have evolved, crashes in build",y,,y,,,,,y,,n,y,n,w,not-found,8,5,no,not-found,MacOS Sonoma,"Golang, Docker, Git, Rust, cmake, python, LaTeX, Wireshark",topo.16.64.200.py,"one part needs go 1.23 exactly, go seems to have evolved"
65,PETS 2025,Evaluator 1,PGUP: Pretty Good User Privacy for 5G-enabled Secure Mobile Communication Protocols,,https://github.com/YYangNUS/PETS_PGUP/tree/e2e46ab3f6c3664fd7e548ad838cf093cc71fb95,R,,README.md,,y,y,"needs software defined radio, cannot run",n,,,,,,,,,,,,,8,32GB,not-found,no,not-found,Ubuntu 22.04 LTS,"OpenAirInterface, Docker, g++, libssl, libcrypto, libcryptopp",topo.16.64.200.py,
18,PETS 2025,Evaluator 1,TEEMS: A Trusted Execution Environment based Metadata-protected Messaging System,,https://git-crysp.uwaterloo.ca/iang/teems/src/popets-artifact/ARTIFACT-EVALUATION.md,R,,ARTIFACT-EVALUATION.md,,y,y,"needs Intel w SGX and 80 cores, cannot run",n,,,,,,,,,,,,,80,20GB,4GB,no,not-found,Ubuntu 22.04 (Linux kernel 5.11+),"docker, cpuid, aesmd service",,
27,PETS 2025,Evaluator 1,Locally Differentially Private Frequency Estimation via Joint Randomized Response,,https://github.com/ZhengYeah/JRR/releases/tag/v1.0.0,R,zip,ARTIFACT-EVALUATION.md,,y,y,needs Matlab and it is hard to work with without GUI,n,,,,,,,,,,,,,>500,500GB,1000GB,no,Google BigQuery,"Windows 11, Ubuntu 20.04, Ubuntu 24.01","Python 3.x, Conda, PostgreSQL, Google Chrome, Git, Rust, OpenWPM, xRDP",,
54,PETS 2025,Evaluator 1,HyDia: FHE-based Facial Matching with Hybrid Approximations and Diagonalization,,https://github.com/n7koirala/image_matching/tree/1a2f0ab9457a5b1eb4461aa6af8a0ae8ae4a5ac9,R,,ARTIFACT-EVALUATION.md,,y,y,NO: runs but throws exception,y,,y,,,,,,,y,y,y,y,48,128GB,40GB,no,not-found,Linux (Ubuntu > 20.04),"Docker, OpenFHE, Python libraries",topo.16.64.200.py,didn't work on basic VM but worked easily on beefy one
61,PETS 2025,Evaluator 1,Client-Efficient Online-Offline Private Information Retrieval,,https://github.com/vt-asaplab/pirex/tree/85090c619abbe2446c9b675a661ea0af322ab2c1,R,,ARTIFACT-EVALUATION.md,,y,y,10m,y,,,,,,y,,,n,y,y,y,8,16,1000,no,not-found,Ubuntu,"rust, cargo, libsecp256k1, libtool, automake, build-essential, python3, curl, autoconf, make",topo.16.64.200.py,required small mod to point to data file under another dir
66,PETS 2025,Evaluator 1,DiffPrivate: Facial Privacy Protection with Diffusion Models,,https://github.com/minha12/DiffPrivate/tree/4f7e86c7308b4b09e04f1a619ec5e7c9afa0b939,F,,ARTIFACT-EVALUATION.md,,,,,,,,,,,,,,,,,,,,,,,,,,
